OBS,LY,PI,LW,LI,LC,RATE,LLAB,LIIP,LCPI_HP,LWAGE,LINV,LCONS,prime_HP,LHOUR,LIIP,cpi_no_food,LWAGE,LINV,LCONS,RM,LHOUR,L_CONS1,L_CONS2,L_CONS3,L_CONS4,L_CONS5,L_IIP1,L_IIP2,L_IIP3,L_IIP4,L_IIP5,L_LAB1,L_LAB2,L_LAB7,L_RATE1,L_RATE2,L_RATE3,L_RATE4,L_RATE5,PI1,PI2,PI3,PI4,PI5,PI6,PI7,L_STOCK1,L_STOCK2,L_STOCK3,L_STOCK4,L_STOCK5,L_M1,L_M2,L_EX1,L_EX2
Dec-84,-0.343530232,-0.899228949,-0.300007207,0.780002797,-0.82440249,0.291543917,1.603030731,3.775985483,2.024504119,1.020975587,0.630849883,0.912740964,0.452143898,0.743227451,3.836803765,1.594052456,1.281268013,9.789870732,1.301026384,0.210904818,0.818700742,-1.048096803,-0.682982223,-0.917450148,-1.391358812,0.189406106,0.231452571,0.266409152,-0.01451805,6.725651621,3.770058107,0.254226379,0.539968268,2.1504905,0.160203638,0.2741093,0.241647687,0.370367014,0.244286323,1.648030474,1.948231656,1.04884091,-2.6792056,0.734140832,0.220132875,4.278295113,-7.602661537,2.418964822,-9.013886493,8.496158044,6.485147848,-1.037708399,-1.644026462,13.86894259,-9.521772826
Mar-85,-0.485981707,1.263103605,-0.571983101,-0.485668772,-1.266233248,0.446628628,-1.056459703,2.855035585,0.692165154,0.454186055,0.162610344,0.846503656,0.555910039,-0.771884328,2.783368019,0.226248452,1.149545008,11.74292624,1.305997928,0.301167701,-0.23788995,-3.90141201,-1.432250504,1.02579353,-0.848390173,-0.008129861,2.185109243,-0.00410687,-1.654447606,5.185070771,2.607286439,0.21598931,-4.703498263,3.85978303,0.199549271,0.123745297,0.133005039,0.1621608,0.138927145,3.510435041,3.354415475,-0.294885908,0.167413123,1.179802594,0.244334454,-1.362211065,-4.917732954,3.135939466,-4.510886443,9.195102114,7.060003648,-1.129348013,-1.600644437,20.70492404,-12.9715917
Jun-85,0.149617865,-0.452685733,-0.494240054,1.6791803,-0.38268952,0.392875881,-0.007115242,2.809040388,0.061666093,-0.443391342,6.628454999,0.429752574,0.653027214,-0.001191925,2.984332315,0.164937798,0.828488404,8.884071308,0.624332276,0.389451803,0.287478446,-6.586087091,-0.617779641,1.144005297,0.245947551,-0.535072305,3.140396689,1.106394274,-0.260460666,4.082747198,4.512382242,0.291018061,-7.603920635,3.816475463,0.279731917,0.433777471,0.422794124,0.315704768,0.42299713,-0.370435611,-0.358282209,0.420862889,2.041569949,1.098269693,0.204786632,1.598573776,-6.611841345,-4.286768067,-6.745386463,9.227850799,7.108536944,-1.330757689,-1.654601639,20.39660445,-13.56756557
Sep-85,0.07616417,0.161499964,-0.00206054,3.956702871,-0.787191332,0.702592076,-0.166868518,1.500688417,1.31018751,0.053628548,9.717848121,0.185183998,0.742636666,-0.165141054,1.418333044,0.489782778,0.124282522,10.37415552,0.969638847,0.477226769,-0.014704808,-5.223703517,-1.700362884,0.913373039,-0.660053378,-1.198663357,4.419375315,1.735451498,-0.240623722,1.273844884,3.931553175,0.335058418,-3.642509916,0.618446703,0.328228174,0.211945418,0.21170423,0.105269955,0.215169411,-0.86347016,-1.797766006,-0.777359346,3.280696248,1.098351789,-0.83365265,-0.8525156,-11.53304271,-12.42679222,-9.454813028,5.827369228,5.602794249,-1.322276713,-3.506553463,18.07661771,-12.21898758
Dec-85,0.903700858,0.311918788,-0.530724501,3.897651839,0.2712601,1.851104738,0.090353781,0.435183804,-0.393722265,-0.356567716,5.544314378,0.751390038,0.823471492,0.018381725,0.47188532,-0.523717588,0.266593868,8.472141043,0.026954621,0.57171884,-0.174239994,-2.780663191,-0.732617161,1.447028492,0.844191184,-0.18299152,6.332422595,2.902503993,-0.350691525,-1.414087863,2.448346687,0.128909452,3.663310622,-2.846334886,0.381339804,0.361717626,0.197160394,0.229930086,0.16385275,-1.740958145,-1.712996419,-0.451275074,-0.406379855,-0.35496048,0.721055422,-2.102582218,-15.3454853,-12.80792235,-15.23182632,-1.399969357,1.913646278,-1.200392827,-3.079667281,6.677620941,-3.080359563
Mar-86,-1.557832968,2.750250983,-0.113180054,0.076212332,-1.708261697,0.737635601,-1.331854619,-0.89264155,0.607208818,0.33987136,1.41081002,-0.404605151,-0.106199355,-0.732408942,-0.863187848,0.971180555,0.389960036,2.311775843,-0.572779625,0.54785599,-0.640219855,-6.363228759,-0.105895526,-0.841496908,0.759246938,-1.504122299,4.647568631,1.63865044,-0.590343872,-2.065619532,-0.448663259,-0.071727727,-1.201655863,-6.589069237,0.37416343,0.043430116,0.240455341,-0.100306911,0.227321423,-1.666399725,-1.772418337,0.519813645,2.607295411,0.950114612,0.266646305,1.136782831,-15.21679273,-10.15548739,-14.86465209,-9.049326369,-3.662612919,-1.390993376,-3.531885149,-0.165203577,3.584912689
Jun-86,-0.79774972,-1.684728704,-1.494383907,-0.528081498,-0.990153506,-0.772583872,-0.602365426,-1.9838318,-2.24636818,0.190244089,0.400422473,0.032122787,-0.423621595,-0.181060909,-2.087660488,-0.866100318,0.241132504,-1.516374627,0.100081618,0.055208866,-0.56784659,-4.500840393,-0.767739879,-0.156681369,-0.662769963,-0.566655308,3.557094733,0.826778557,-1.507385461,-2.872965577,-2.491935791,-0.171907651,4.228414581,-15.34449561,0.066557335,-0.513807166,-0.35024143,-0.894576813,-0.346252696,-4.124533967,-3.745107691,-2.270916099,-3.132275147,-3.98751716,-0.320689561,1.749260513,-3.261238547,0.385739121,-4.716294609,-16.73816812,-10.19252398,-2.199393154,-1.290536552,-7.138647445,10.10909409
Sep-86,-0.928401238,-2.09281911,-0.940727727,-3.037728817,-0.396021802,-0.550483242,-0.656790667,-3.344531742,-1.394632916,0.305658456,-2.831771732,-0.445934398,-0.380974571,-0.425526534,-3.330302736,-1.811792518,-0.415883559,-8.638364052,-0.157538054,-0.265994292,-0.986663692,-6.729169633,-0.147807365,-0.067377822,0.061948538,-0.545005568,0.860387303,-1.083529083,-2.554348866,-3.839443795,-4.183842675,-0.200598984,4.902359899,-19.7430347,-0.14885405,0.066088584,-0.252910705,-0.582952705,-0.248839814,-5.540010977,-4.585666659,-2.086536333,-3.58114616,-0.876989643,-0.357766463,0.211753914,1.466209401,1.599617123,3.430848113,-18.80934165,-14.75606124,-1.960091981,-2.308643712,-13.00018509,15.01745325
Dec-86,-0.737372632,-1.325184079,-0.973004805,-4.046968981,-0.5206947,-0.91167587,-0.85229048,-4.472721955,-1.975448268,-0.440653062,-4.76986068,-1.61505809,-0.730172864,-0.853846606,-4.592872821,-1.379948315,-1.17466956,-14.24459305,-0.51953116,-0.33855975,-1.649652646,-6.675468625,-1.868274771,0.304567156,-0.935715001,-1.224191017,-3.64134615,-1.989970065,-1.109246504,-4.676945984,-7.723661331,-0.129109928,4.863057623,-22.77968003,-0.200487889,0.094521299,-0.233314368,-0.263948561,-0.232193726,-4.344405762,-4.949983877,-2.090428961,-1.33311436,-3.247502466,0.075587283,-2.779473921,-5.936574347,-4.717637369,-1.91450776,-14.46150221,-12.2215778,-2.383328651,-0.961894285,-7.243629694,8.186210003
Mar-87,-1.925292332,-2.122823337,-0.579283897,-5.56553167,-0.749146555,-0.971064401,-1.788865755,-4.741109991,-1.682246077,0.234399378,-5.52770568,-2.123937681,-1.097892945,-0.455142227,-4.742247504,-0.714248486,-0.648789088,-19.5107653,-1.751788892,-0.511127529,-1.298807676,-3.740416562,-2.452928614,-0.912050798,-0.360725412,-1.029096903,-3.468435401,-2.669124214,-2.078917522,-5.387133707,-7.542619569,-0.412359904,11.2827395,-22.83712003,-0.347668317,-0.276146393,-0.659056234,-0.503714011,-0.667912705,-1.431298223,-1.291396938,-2.983179513,-9.036809486,-4.700299002,0.16723737,0.998103379,2.438451746,-1.406401668,10.39201608,-17.77979885,-12.15458073,-2.229166252,-0.222586594,-8.935284252,7.386750663
